Code armoire	Code Support	Date pose support	Forme support	Nature support	Code foyer	Date Pose Foyer	Marque Luminaire	Libellé Réf Luminaire	Puissance foyer (Watt)	Secteur foyer	Code Lampe	Type Lampe	Référence	Puissance	IRC	Type	Douille	Date pose lampe	Nom Régime	Latitude	Longitude
0022-	0040C014		FACADE	POLYESTER	00400003	26238	CLAREL	RUM	175	SECTEUR 2	00400003	SHP	OVOIDE	150W	IR25	T20	E40	40778.36841	NOCTURNE	45.19032675	5.732571845
0024-	33300005	34409		FONTE PEINT	3330005A	34409	THORN	S400	145	SECTEUR 2	3330005A	BF	OVOIDE	125W	IR60	T42	E27	40772.39659	NOCTURNE	45.19090814	5.727306253
1816-	18300008	33297	OCTO-CONIQUE	ACIER GALVANISE	18300008	38481	COMATELEC	SAPHIR	175	SECTEUR 5	18300008	SHP	TUBE	0150W	IR25	T22	E40	40288.46757	NOCTURNE	45.18295042	5.743660182
1816-	18300009	33297	OCTO-CONIQUE	ACIER GALVANISE	18300009	38481	COMATELEC	SAPHIR	175	SECTEUR 5	18300009	SHP	TUBE	0150W	IR25	T22	E40	40288.46757	NOCTURNE	45.18298174	5.743331964
1816-	18300010	33297	OCTO-CONIQUE	ACIER GALVANISE	18300010	38481	COMATELEC	SAPHIR	175	SECTEUR 5	18300010	SHP	TUBE	0150W	IR25	T22	E40	40288.46757	NOCTURNE	45.18299836	5.743000848
1816-	18300011	33297	OCTO-CONIQUE	ACIER GALVANISE	18300011	38481	COMATELEC	SAPHIR	175	SECTEUR 5	18300011	SHP	TUBE	0150W	IR25	T22	E40	40288.46757	NOCTURNE	45.18301658	5.7426739
1816-	18300012	33297	OCTO-CONIQUE	ACIER GALVANISE	18300012	38481	COMATELEC	SAPHIR	175	SECTEUR 5	18300012	SHP	TUBE	0150W	IR25	T22	E40	40288.46757	NOCTURNE	45.18303108	5.742344442
1816-	18300013	26573		BETON	18300013	38481	COMATELEC	SAPHIR	175	SECTEUR 5	18300013	SHP	TUBE	0150W	IR25	T22	E40	40288.46757	NOCTURNE	45.18304691	5.742074206
1816-	18300014	26573		BETON	18300014	38481	COMATELEC	SAPHIR	175	SECTEUR 5	18300014	SHP	TUBE	0150W	IR25	T22	E40	40288.46757	NOCTURNE	45.18306123	5.741851252
1816-	18300015	26573		BETON	18300015	38481	COMATELEC	SAPHIR	175	SECTEUR 5	18300015	SHP	TUBE	0150W	IR25	T22	E40	40288.46757	NOCTURNE	45.18307991	5.741589622
1816-	18300016	26573		BETON	18300016	38481	COMATELEC	SAPHIR	175	SECTEUR 5	18300016	SHP	TUBE	0150W	IR25	T22	E40	40288.46757	NOCTURNE	45.18309836	5.741294544
0007-	38200030	37280	CYLINDRO-CONIQUE	ACIER GALVANISE	38200030	36373	THORN	CARAT	290	SECTEUR 1	38200030	SHP	TUBE	0250W	IR25	T22	E40	40882.41382	NOCTURNE	45.18747556	5.718725032
1458-	38200031	41067.68953		BOIS	38200031	36373	THORN	CARAT	290	SECTEUR 2	38200031	SHP	TUBE	0250W	IR25	T22	E40	40308.57778	NOCTURNE	45.18732847	5.718943158
0007-	38200032	37280	CYLINDRO-CONIQUE	ACIER GALVANISE	38200032	36373	THORN	CARAT	290	SECTEUR 1	38200032	SHP	TUBE	0250W	IR25	T22	E40	40532.54444	NOCTURNE	45.18717691	5.718624268
1458-	38200033	37280	CYLINDRO-CONIQUE	ACIER GALVANISE	38200033	36373	THORN	CARAT	290	SECTEUR 2	38200033	SHP	TUBE	0250W	IR25	T22	E40	40998.638	NOCTURNE	45.1869764	5.718824389
0007-	38200036	41067.68953	CYLINDRO-CONIQUE	BOIS	38200036	36373	THORN	CARAT	290	SECTEUR 1	38200036	SHP	TUBE	0250W	IR25	T22	E40	40532.54444	NOCTURNE	45.18651183	5.718399957
0007-	38200038	41067.68953	CYLINDRO-CONIQUE	BOIS	38200038	36373	THORN	CARAT	290	SECTEUR 1	38200038	SHP	TUBE	0250W	IR25	T22	E40	41038.60851	NOCTURNE	45.18615751	5.71828107
0040-	37450015	39765	CYLINDRO-CONIQUE	ACIER THERMOLAQUE	37450015	39765	COMATELEC	NEOS 2	90	SECTEUR 6	37450015	I.M.	TUBE	0070W	IR75	T30	R7s	40652.45225	NOCTURNE	45.16550015	5.72730857
