Luminaire - Type,Luminaire - Code luminaire,Luminaire - Hauteur de feu,Luminaire - X,Luminaire - Y,Lampe - IRC,Lampe - Température Couleur,Lampe - Régime,Lampe - Régime (simplifié),Latitude,Longitude
CLASSIQUE,42900013,12,913846.17,6455937.25,25,2000,CREM NOCTURNE,Fonctionnement standard,45.169555559803754,5.722583002167303
CLASSIQUE,42900014,12,913829.91,6455909.51,25,2000,CREM NOCTURNE,Fonctionnement standard,45.16931098041446,5.722363980580742
CLASSIQUE,42900015,12,913811.74,6455878.53,25,2000,CREM NOCTURNE,Fonctionnement standard,45.16903783731033,5.722119241756996
CLASSIQUE,42900016,12,913796.32,6455852.27,25,2000,CREM NOCTURNE,Fonctionnement standard,45.168806314571746,5.7219115593334955
CLASSIQUE,42900017,12,913778.83,6455822.49,25,2000,CREM NOCTURNE,Fonctionnement standard,45.168543758049246,5.721676001716764
CLASSIQUE,42900018,12,913761.59,6455793.11,25,2000,CREM NOCTURNE,Fonctionnement standard,45.16828472299265,5.721443802040225
CLASSIQUE,42900019,12,913744.5,6455763.96,25,2000,CREM NOCTURNE,Fonctionnement standard,45.16802771065292,5.7212136135491365
CLASSIQUE,42900020,12,913727.49,6455734.98,25,2000,CREM NOCTURNE,Fonctionnement standard,45.16777220283001,5.720984519407735
CLASSIQUE,42900021,12,913709.68,6455704.63,25,2000,CREM NOCTURNE,Fonctionnement standard,45.16750461436568,5.720744649863919
CLASSIQUE,42900022,12,913692.07,6455674.61,25,2000,CREM NOCTURNE,Fonctionnement standard,45.167239932969785,5.72050747148594
CLASSIQUE,42900023,12,913674.28,6455644.21,25,2000,CREM NOCTURNE,Fonctionnement standard,45.1669718873711,5.720267839009481
CLASSIQUE,42900024,12,913656.4,6455613.76,25,2000,CREM NOCTURNE,Fonctionnement standard,45.16670341924458,5.7200270420443715
CLASSIQUE,42900025,12,913638.61,6455583.46,25,2000,CREM NOCTURNE,Fonctionnement standard,45.166436272526276,5.719787458007581
CLASSIQUE,42900026,12,913622.22,6455555.55,25,2000,CREM NOCTURNE,Fonctionnement standard,45.1661901983402,5.719566732696449
CLASSIQUE,42900027,12,913605.5,6455527.12,25,2000,CREM NOCTURNE,Fonctionnement standard,45.165939546670856,5.719341583638361
CLASSIQUE,42900028,12,913588.29,6455497.86,25,2000,CREM NOCTURNE,Fonctionnement standard,45.16568157746801,5.719109839814363
CLASSIQUE,42900029,12,913570.85,6455468.12,25,2000,CREM NOCTURNE,Fonctionnement standard,45.16541935967481,5.718874962094886
CLASSIQUE,42900030,12,913553.45,6455438.49,25,2000,CREM NOCTURNE,Fonctionnement standard,45.165158118872114,5.7186406435923915
CLASSIQUE,42900031,12,913536,6455408.9,25,2000,CREM NOCTURNE,Fonctionnement standard,45.164897253040806,5.718405708786406
CLASSIQUE,42900032,12,913515.96,6455374.29,25,2000,CREM NOCTURNE,Fonctionnement standard,45.164592015424795,5.718135631556963
CLASSIQUE,42900033,12,913500.99,6455349.32,25,2000,CREM NOCTURNE,Fonctionnement standard,45.1643719545111,5.717934271323827
CLASSIQUE,42900034,9,913483.05,6455318.77,25,2000,CREM NOCTURE AVEC REDUCTION 50% flux - 40 % NRJ en milieu de nuit,Abaissement en milieu de nuit,45.164102600222655,5.717692689772169
CLASSIQUE,42900035,9,913464.81,6455288.67,25,2000,CREM NOCTURE AVEC REDUCTION 50% flux - 40 % NRJ en milieu de nuit,Abaissement en milieu de nuit,45.163837387827115,5.717447491576455
CLASSIQUE,42900037,12,913448.65,6455260.48,25,2000,CREM NOCTURNE,Fonctionnement standard,45.16358871824924,5.717229589851932
CLASSIQUE,42900038,12,913432.72,6455233.64,25,2000,CREM NOCTURNE,Fonctionnement standard,45.16335212538356,5.717015206779311
CLASSIQUE,42900039,12,913413.92,6455201.9,25,2000,CREM NOCTURNE,Fonctionnement standard,45.1630723269775,5.7167621738958525
CLASSIQUE,42900040,12,913394.82,6455169.88,25,2000,CREM NOCTURNE,Fonctionnement standard,45.162790101265045,5.71650520499939
CLASSIQUE,42900041,12,913376.96,6455139.98,25,2000,CREM NOCTURNE,Fonctionnement standard,45.16252656842318,5.71626493929032
CLASSIQUE,42900042,12,913359.04,6455109.92,25,2000,CREM NOCTURNE,Fonctionnement standard,45.162261613852166,5.716023842630751
CLASSIQUE,42900043,12,913332.16,6455077.92,25,2000,CREM NOCTURNE AVEC VARIATIEUR (Réduction de  50 % flux - 40 % puissance de 23h à 6h),Abaissement en milieu de nuit,45.161981975259195,5.715667930467297
CLASSIQUE,42900044,12,913315.41,6455041.52,25,2000,CREM NOCTURNE,Fonctionnement standard,45.16165960486775,5.715438946688059
CLASSIQUE,42900045,12,913298,6455012.12,25,2000,CREM NOCTURNE,Fonctionnement standard,45.16140042989729,5.7152046334642135
CLASSIQUE,42900046,12,913278.97,6454980.41,25,2000,CREM NOCTURNE,Fonctionnement standard,45.16112096866779,5.714948706121139
CLASSIQUE,42900047,12,913259.75,6454947.74,25,2000,CREM NOCTURNE,Fonctionnement standard,45.16083292683033,5.714689944675588
CLASSIQUE,42900048,12,913240.82,6454915.97,25,2000,CREM NOCTURNE,Fonctionnement standard,45.16055289358294,5.714435268202932
CLASSIQUE,42900049,12,913222.64,6454885.39,25,2000,CREM NOCTURNE,Fonctionnement standard,45.16028333626105,5.714190654271901
CLASSIQUE,42900050,12,913205.61,6454854.97,25,2000,CREM NOCTURNE,Fonctionnement standard,45.16001486240354,5.713960739858142
CLASSIQUE,42900051,12,913186.33,6454825.1,25,2000,CREM NOCTURNE,Fonctionnement standard,45.159752033543604,5.713702449898668
CLASSIQUE,42900052,10,913177.65,6454793.4,25,2000,CREM NOCTURNE,Fonctionnement standard,45.159469457070735,5.713578185384993
CLASSIQUE,42900053,12,913169.85,6454756.03,25,2000,CREM NOCTURNE,Fonctionnement standard,45.15913558506846,5.713462635727518
CLASSIQUE,42900054,10,913164.25,6454720.9,25,2000,CREM NOCTURNE,Fonctionnement standard,45.15882118971821,5.713376048691463
CLASSIQUE,42900055,10,913199.34,6454798.76,25,2000,CREM NOCTURNE,Fonctionnement standard,45.15951098005671,5.713856408110366
CLASSIQUE,42900056,10,913194.06,6454767.32,25,2000,CREM NOCTURNE,Fonctionnement standard,45.159229691534605,5.713775502031639
